Ano,Escola,Cidade,Horário da visita: ,Número de alunos: ,De quais os anos do ensino fundamental são os alunos visitantes?,Número de alunos do ensino fundamental,De quais os anos do ensino médio são os alunos visitantes?,Número de alunos do ensino medio
2025,Escola Estadual Alvino Alcântara Fernandes,Mateus Leme,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,40
2025,Escola Padre João Parreiras Villaça,Carmo do Cajuru,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,80,3º ano,80
2025,E M José Vilaça Guimarães ,Betim,Manhã,,9º ano,21,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Sebastião Ferreira de Oliveira ,Betim ,Manhã e Tarde,,9º ano,70,Não levaremos estudantes do ensino médio,70
2025,ESCOLA MUNICIPAL GERALDO JORGE MEIRA,BETIM,Manhã e Tarde,,9º ano,40,Não levaremos estudantes do ensino médio,0
2025,ESCOLA MUNICIPAL ANTÔNIO TEREZA DOS SANTOS ,BETIM MG,Tarde,,"8º ano, 9º ano",50,Não levaremos estudantes do ensino médio,0
2025,ESCOLA ESTADUAL PADRE NONO,MARTINHO CAMPOS  - DISTRITO IBITIRA,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",40
2025,E.E.Manoel Batista ,Pará de Minas ,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,30
2025,E M RAUL SARAIVA RIBEIRO,BETIM,Manhã e Tarde,,"8º ano, 9º ano",140,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Frei Rogato,Betim,Manhã e Tarde,,"8º ano, 9º ano",90,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Miguel Gontijo ,Bom Despacho/MG,Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",45
2025,Escola Municipal Marechal Deodoro ,Pará de Minas ,Manhã e Tarde,,9º ano,10,Não levaremos estudantes do ensino médio,0
2025,ESCOLA MUNICIPAL DONA COTINHA,PARA DE MINAS,Manhã,,9º ano,50,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Lúcia Farage Freitas Gumiero,Betim,Manhã,,9º ano,60,Não levaremos estudantes do ensino médio,0
2025,escola estadual manoela soares bicalho,Ipatinga  MG,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",50
2025,E E CARLOS DRUMOND DE ANDRADE,BETIM,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,44
2025,ESCOLA ESTADUAL ANGELA MARIA DE OLIVEIRA,Pará de MInas,Manhã e Tarde,,9º ano,40,"1º ano, 2º ano, 3º ano",40
2025,Escola Estadual Padre João Parreiras Villaça,Carmo do Cajuru - MG,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,90
2025,COLÉGIO MILLENIUM,BOM DESPACHO,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",59
2025,Escola Municipal Miguel Rodrigues Duarte,Juatuba,Manhã,,9º ano,70,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Dr. Renato Azeredo,Betim,Manhã,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",100
2025,Escola Municipal José Vilaça Guimarães ,Betim ,Manhã,,9º ano,25,Não levaremos estudantes do ensino médio,0
2025,Colégio Educare Betim,Betim - MG,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",90
2025,EM. ANGELA RIBEIRO BATISTA MAIA,BETIM,Manhã e Tarde,,9º ano,50,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Maria Luzia de Andrade,Juatuba,Manhã,,9º ano,23,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Maria Cândida de Jesus,Juatuba,Manhã,,9º ano,48,Não levaremos estudantes do ensino médio,0
2025,ESCOLA ESTADUAL DA VILA BOA VISTA,ARCOS,Manhã,,Não levaremos estudantes do ensino fundamental,00,3º ano,45
2025,E E Joaquim Nabuco ,Divinópolis ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,00,3º ano,200
2025,ESCOLA ESTADUAL SÃO FRANCISCO DE PAULA,Divinopolis,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,100,"2º ano, 3º ano",100
2025,Escola Municipal José Pires Montes,Juatuba,Manhã,,9º ano,35,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Padre Lauro,Nova Serrana ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",90
2025,REDE DE ENSINO GENOMA ,Betim ,Tarde,,9º ano,60,3º ano,40
2025,ESCOLA MUNICIPAL DONA VINA,MARAVILHAS,Manhã e Tarde,,"8º ano, 9º ano",50,Não levaremos estudantes do ensino médio,0
2025,E.E. Cristiano Chaves de Oliveira,Igarape,Manhã,,"8º ano, 9º ano",40,Não levaremos estudantes do ensino médio,0
2025,Colégio Sagrado Coração de Maria,Pará de Minas,Manhã,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",36
2025,Centro de Referência do Professor,São Joaquim de Bicas,Manhã,,9º ano,80,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Padre Moacir Cândido Rodrigues ,Juatuba ,Manhã,,9º ano,60,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Maria Rita Duarte,Juatuba - Mg,Manhã,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",50
2025,Escola Municipal José Antônio Júnior ,São Joaquim de Bicas,Manhã e Tarde,,9º ano,40,Não levaremos estudantes do ensino médio,0
2025,Escola Municipal Clóvis Salgado,Betim,Tarde,,9º ano,40,Não levaremos estudantes do ensino médio,0
2025,EE DONA AMANDA PINHEIRO SENNA ,Igaratinga ,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",40
2025,Escola Estadual Sarah Kubitschek ,Betim,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,44
2025,Escola Municipal Regina Célia de Oliveira Costa ,Mateus Leme ,Manhã,,9º ano,75,Não levaremos estudantes do ensino médio,0
2025,Escola Estadual Avany Villena Diniz,Pará de Minas,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"1º ano, 2º ano, 3º ano",42
2025,Escola Estadual Domingos Justino Ribeiro,Mateus Leme,Manhã,,Não levaremos estudantes do ensino fundamental,0,3º ano,45
2025,Escola Conselheiro Afonso Pena,Betim,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,50
2025,Escola Municipal Regina Célia de Oliveira Costa,Mateus Leme,Manhã,,9º ano,50,Não levaremos estudantes do ensino médio,0
2025,"Escola Estadual ""Quinzinho Inácio""",Senhora de Oliveira,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,"2º ano, 3º ano",125
2025,ESCOLA MUNICIPAL MARGARIDA SOARES GUIMARÃES,BETIM/MG,Manhã e Tarde,,9º ano,45,Não levaremos estudantes do ensino médio,0
2025,E E Geraldo Bittencourt,Conselheiro Lafaiete,Manhã e Tarde,,Não levaremos estudantes do ensino fundamental,0,3º ano,45
